City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
114,Upernavik,GL,2020-02-23 18:34:28,72.79,-56.15,-16.91,80,0,6.64,clear sky,0.0,0.0
115,Berlevag,NO,2020-02-23 18:34:29,70.86,29.09,28.4,92,75,5.82,light shower snow,0.0,0.0
116,San Policarpo,PH,2020-02-23 18:34:29,12.18,125.51,78.3,86,0,13.78,light rain,0.0,0.0
117,Tual,ID,2020-02-23 18:33:43,-5.67,132.75,82.9,79,82,11.81,light rain,0.0,0.0
118,Kovdor,RU,2020-02-23 18:33:03,67.57,30.48,23.58,90,100,6.69,light snow,0.0,0.25
119,Avarua,CK,2020-02-23 18:34:30,-21.21,-159.78,80.6,94,100,5.82,moderate rain,0.0,0.0
120,Faanui,PF,2020-02-23 18:31:43,-16.48,-151.75,82.67,70,66,10.54,broken clouds,0.0,0.0
121,Saskylakh,RU,2020-02-23 18:31:09,71.92,114.08,6.31,85,100,8.46,overcast clouds,0.0,0.0
122,Barrow,US,2020-02-23 18:34:30,71.29,-156.79,-29.2,81,20,10.29,few clouds,0.0,0.0
123,Port Macquarie,AU,2020-02-23 18:34:31,-31.43,152.92,68.0,94,75,4.7,broken clouds,0.0,0.0
124,Bluff,NZ,2020-02-23 18:34:31,-46.6,168.33,51.01,91,40,3.0,scattered clouds,0.0,0.0
125,Chokurdakh,RU,2020-02-23 18:34:31,70.63,147.92,-22.4,99,96,3.74,overcast clouds,0.0,0.0
126,Catamarca,AR,2020-02-23 18:34:31,-28.47,-65.79,64.27,57,1,6.02,clear sky,0.0,0.0
127,Sochi,RU,2020-02-23 18:34:32,43.6,39.73,42.8,93,90,2.24,overcast clouds,0.0,0.0
128,Saint George,US,2020-02-23 18:32:36,37.1,-113.58,50.0,81,1,4.7,clear sky,0.0,0.0
129,Sun City West,US,2020-02-23 18:34:32,33.66,-112.34,62.01,66,90,6.93,overcast clouds,0.0,0.0
130,Ushuaia,AR,2020-02-23 18:32:16,-54.8,-68.3,51.8,71,75,12.75,shower rain,0.0,0.0
131,Nome,US,2020-02-23 18:34:33,64.5,-165.41,1.4,84,90,11.41,mist,0.0,0.0
132,Tasiilaq,GL,2020-02-23 18:34:33,65.61,-37.64,10.4,72,96,2.24,overcast clouds,0.0,0.0
133,Cabra,ES,2020-02-23 18:34:33,37.47,-4.44,69.8,32,0,1.12,clear sky,0.0,0.0
134,Hyeres,FR,2020-02-23 18:34:34,43.12,6.12,66.2,45,0,16.11,clear sky,0.0,0.0
135,Nikolskoye,RU,2020-02-23 18:31:22,59.7,30.79,37.4,90,75,8.95,broken clouds,0.0,0.0
136,Pevek,RU,2020-02-23 18:34:35,69.7,170.31,-11.27,98,100,1.92,light snow,0.0,0.13
137,Boralday,KZ,2020-02-23 18:34:38,43.36,76.86,33.8,86,90,2.24,mist,0.0,0.0
138,Iqaluit,CA,2020-02-23 18:34:39,63.75,-68.51,-23.01,61,20,12.75,few clouds,0.0,0.0
139,Torbay,CA,2020-02-23 18:34:39,47.67,-52.73,37.0,69,20,24.16,few clouds,0.0,0.0
140,Hilo,US,2020-02-23 18:34:39,19.73,-155.09,70.0,64,40,4.7,scattered clouds,0.0,0.0
141,Orimattila,FI,2020-02-23 18:34:40,60.8,25.73,37.4,80,88,11.41,overcast clouds,0.0,0.0
142,Ribeira Grande,PT,2020-02-23 18:34:40,38.52,-28.7,62.6,67,75,5.82,broken clouds,0.0,0.0
143,Valparaiso,CL,2020-02-23 18:32:24,-33.04,-71.63,66.2,68,20,4.7,few clouds,0.0,0.0
144,Saldanha,ZA,2020-02-23 18:34:40,-33.01,17.94,78.8,34,0,12.75,clear sky,0.0,0.0
145,Isla Vista,US,2020-02-23 18:32:11,34.41,-119.86,62.01,59,1,4.7,clear sky,0.0,0.0
146,Okato,NZ,2020-02-23 18:34:41,-39.2,173.88,51.01,70,0,15.01,clear sky,0.0,0.0
147,Derzhavinsk,KZ,2020-02-23 18:34:41,51.1,66.32,10.99,95,74,5.79,broken clouds,0.0,0.0
148,Bintulu,MY,2020-02-23 18:33:21,3.17,113.03,77.0,94,75,0.85,broken clouds,0.0,0.0
149,Zelenoborsk,RU,2020-02-23 18:34:42,61.47,64.03,27.55,88,99,14.58,overcast clouds,0.0,0.0
150,Santa Rosa,PH,2020-02-23 18:34:42,14.31,121.11,77.0,78,75,5.82,broken clouds,0.0,0.0
151,Bondo,CD,2020-02-23 18:32:15,3.81,23.69,81.97,28,69,2.73,broken clouds,0.0,0.0
152,Hovd,MN,2020-02-23 18:34:43,48.01,91.64,17.64,66,100,1.9,overcast clouds,0.0,0.0
153,Kendari,ID,2020-02-23 18:34:43,-3.94,122.5,75.85,93,100,1.83,light rain,0.0,0.0
154,Esperance,AU,2020-02-23 18:34:43,-33.87,121.9,66.2,88,75,8.05,broken clouds,0.0,0.0
155,Bambanglipuro,ID,2020-02-23 18:34:43,-7.95,110.28,76.17,81,34,2.77,scattered clouds,0.0,0.0
156,Bubaque,GW,2020-02-23 18:34:44,11.28,-15.83,79.77,68,99,20.58,overcast clouds,0.0,0.0
